Date,Open,High,Low,Close,Volume
2/25/2020 16:00:00,315,316.57,304.4,304.87,2881835
2/26/2020 16:00:00,307.55,311.3,304.68,305.69,2239556
2/27/2020 16:00:00,301.98,305,293,293.13,3625276
2/28/2020 16:00:00,285.25,287.33,271.28,281.14,7096587
3/2/2020 16:00:00,294.44,309.51,291.38,309.14,7563779
3/3/2020 16:00:00,309.14,314.17,301.03,302.73,5131419
3/4/2020 16:00:00,308.29,320.97,305.02,320.74,4219326
3/5/2020 16:00:00,315.77,324.51,313.2,315.76,6407662
3/6/2020 16:00:00,312.14,317.49,302.75,311.34,6185520
3/9/2020 16:00:00,295.85,310.33,293,301.98,5203087
3/10/2020 16:00:00,307.97,309.73,294.42,309.4,4245488
3/11/2020 16:00:00,300.86,307.79,294.19,297.43,3625906
3/12/2020 16:00:00,280.44,295.63,276.34,279.85,7307637
3/13/2020 16:00:00,288.83,303.25,278.27,302.27,6100115
3/16/2020 16:00:00,281.83,299.53,279.51,283.18,5465540
3/17/2020 16:00:00,289,307.19,286.3,306.99,7170645
3/18/2020 16:00:00,298,318,296,307.5,6701800
3/19/2020 16:00:00,310.41,313.85,302.63,305.22,5429502
3/20/2020 16:00:00,307.92,308.01,287.02,290.42,6581183
3/23/2020 16:00:00,292.01,295.67,278.42,285.53,5646352
3/24/2020 16:00:00,294.59,297.35,282.83,284.94,7124190
3/25/2020 16:00:00,284.21,290.72,279.21,280.86,5639577
3/26/2020 16:00:00,281.34,293.73,280.86,292.3,5471961
3/27/2020 16:00:00,287.13,293.49,283.33,284.33,4250350
3/30/2020 16:00:00,287.49,291.68,285.84,291.12,4395977
3/31/2020 16:00:00,287.42,291.52,284,285.13,5623886
4/1/2020 16:00:00,282.36,288.8,280.9,286.78,3745783
4/2/2020 16:00:00,284.38,292.78,282.82,291.48,3500595
4/3/2020 16:00:00,289.16,292.34,285.8,288.65,2650063
4/6/2020 16:00:00,293,305.49,289.57,305.12,5272534
4/7/2020 16:00:00,306.5,310,303.22,303.63,4036513
4/8/2020 16:00:00,305.11,307.42,302.28,305.97,3964434
4/9/2020 16:00:00,299.45,304.35,297.58,300.01,6492651
4/13/2020 16:00:00,298.58,303.95,297.66,299.62,3120354
4/14/2020 16:00:00,302.75,314.75,301.25,314.14,4288349
4/15/2020 16:00:00,311.64,313.75,306.82,310.27,2937330
4/16/2020 16:00:00,314.73,322.63,312.04,321.56,3940021
4/17/2020 16:00:00,321.31,322.13,314.02,317.92,3688002
4/20/2020 16:00:00,317.95,318.38,311.53,312.08,3156287
4/21/2020 16:00:00,311.14,311.89,299.35,301.33,3832994
4/22/2020 16:00:00,304,311.13,302.04,309.42,2971194
4/23/2020 16:00:00,307.03,309.64,304.79,305.4,2625238
4/24/2020 16:00:00,307.33,310.83,305.51,310.55,2020576
4/27/2020 16:00:00,313.05,313.29,307.59,308.78,2287280
4/28/2020 16:00:00,310.83,311.27,304.28,304.95,2425940
4/29/2020 16:00:00,304.95,308.68,301.12,307.09,3667703
4/30/2020 16:00:00,306.15,307.9,302.57,303,3794292
5/1/2020 16:00:00,301.78,304.82,300.18,301.92,2525566
5/4/2020 16:00:00,303,305.53,300.07,304.49,2477537
5/5/2020 16:00:00,305.06,309.8,303.44,307.92,2461329
5/6/2020 16:00:00,309.92,311.04,306.54,308.89,2406651
5/7/2020 16:00:00,309.34,309.87,304.53,305,2606254
5/8/2020 16:00:00,305.9,307.18,303.7,305.94,2339313
5/11/2020 16:00:00,305.64,311.83,305,310.33,1865889
5/12/2020 16:00:00,310.84,311.55,304.79,304.84,2264914
5/13/2020 16:00:00,304.84,306.4,300.12,302.14,2954935
5/14/2020 16:00:00,301.01,302.88,294.54,299.74,3718907
5/15/2020 16:00:00,299.07,299.83,295.86,299.21,4577214
5/18/2020 16:00:00,301.72,303.19,299.92,302.76,3989551
5/19/2020 16:00:00,304.62,309.02,303.15,304.63,3522987
5/20/2020 16:00:00,306.77,307.92,303.2,304.91,2826982
5/21/2020 16:00:00,304.79,305.04,301.25,301.97,2492065
5/22/2020 16:00:00,302.01,303.94,300.83,302.43,2366382
5/26/2020 16:00:00,306.01,306.9,303.53,304.8,3234571
5/27/2020 16:00:00,304.56,306.31,299.47,306.01,2980169
5/28/2020 16:00:00,307.25,311,306.9,309.56,4331638
5/29/2020 16:00:00,304.2,308.88,302.35,308.47,4986799
6/1/2020 16:00:00,307.9,309.74,306.46,308.29,2295127
6/2/2020 16:00:00,307.95,309.02,304.72,307.09,2528938
6/3/2020 16:00:00,307.5,308.2,305.92,306.64,2165864
6/4/2020 16:00:00,310.85,315.35,309.09,310.75,4553928
6/5/2020 16:00:00,313.13,313.63,307.29,312.04,4375602
6/8/2020 16:00:00,310.66,311.29,306.46,307.19,3764466
6/9/2020 16:00:00,307.5,308.6,305.17,305.55,3155845
6/10/2020 16:00:00,306.48,308.63,305.65,307.33,2713706
6/11/2020 16:00:00,306.99,309.2,300.64,300.83,3443012
6/12/2020 16:00:00,302.67,305.15,296.25,298.7,4020006
6/15/2020 16:00:00,297.05,298.07,293.84,297.18,3273164
6/16/2020 16:00:00,301.35,302.74,299.22,301.36,2641785
6/17/2020 16:00:00,301.02,302,298.9,299.61,2188401
6/18/2020 16:00:00,300,300.81,297.79,299.57,1881774
6/19/2020 16:00:00,300.18,301.9,298.64,299.9,3432670
6/22/2020 16:00:00,299.7,301.48,298.25,300.45,2094436
6/23/2020 16:00:00,301.73,304.9,300.73,301.29,2409639
6/24/2020 16:00:00,300.77,301.28,296.6,298.02,2398089
6/25/2020 16:00:00,297.06,301.15,295.4,300.53,2274283
6/26/2020 16:00:00,300.41,302.12,295.95,296.56,2865999
6/29/2020 16:00:00,297.44,301.63,296.83,301.59,1841733
6/30/2020 16:00:00,301.01,304.62,300.14,303.21,2392034
7/1/2020 16:00:00,302.5,305.58,300.75,304.75,1906372
7/2/2020 16:00:00,306,308.92,304.6,305.74,2540480
7/6/2020 16:00:00,307.53,311.56,307.24,311.49,2332442
7/7/2020 16:00:00,310.02,318.05,309.72,316.23,3346634
7/8/2020 16:00:00,317.14,318.05,314.01,316.32,2364495
7/9/2020 16:00:00,320,328.98,319.68,325.54,5313636
7/10/2020 16:00:00,326,327.4,323.11,326.23,2484088
7/13/2020 16:00:00,326.3,329.11,321.5,322.92,2583423
7/14/2020 16:00:00,321.32,328.66,320.45,328,1844806
7/15/2020 16:00:00,328.1,329.32,325.62,326.7,1770661
7/16/2020 16:00:00,326.62,327.9,324.06,326.27,1402091
7/17/2020 16:00:00,327.3,327.8,324.58,324.79,1768460
7/20/2020 16:00:00,324.89,327.44,322.66,326.51,1863548
7/21/2020 16:00:00,327,331.49,326.5,327.74,1874532
7/22/2020 16:00:00,329.65,329.66,325.01,328.3,1313011
7/23/2020 16:00:00,328.1,330.38,325.33,326.11,1561673
7/24/2020 16:00:00,326.22,328.75,324.67,325.78,1423600
7/27/2020 16:00:00,325.68,329,325.18,327.6,2083279
7/28/2020 16:00:00,327.97,330,325.82,327.57,1374015
7/29/2020 16:00:00,327.02,328.04,325.39,326.14,1341333
7/30/2020 16:00:00,322.69,326.45,322,324.82,1390255
7/31/2020 16:00:00,324.82,326.31,322.55,325.53,2150823
8/3/2020 16:00:00,325.55,329.89,324.3,329.32,2481263
8/4/2020 16:00:00,329.56,339.82,328.92,339.79,3933264
8/5/2020 16:00:00,341.86,342.73,337.59,339.97,2927467
8/6/2020 16:00:00,342.41,345.12,341.61,343.31,2104513
8/7/2020 16:00:00,343.14,344.73,339.63,340.91,1759041
8/10/2020 16:00:00,340.71,341.07,338.58,340,1503771
8/11/2020 16:00:00,340.85,340.85,331.8,332.43,2065571
8/12/2020 16:00:00,333.75,338.9,333.17,336.76,1854172
8/13/2020 16:00:00,336.99,339.46,335.13,335.7,1536633
8/14/2020 16:00:00,336.53,338.76,335.6,336.28,1522984
8/17/2020 16:00:00,337.65,340.37,337.36,339.96,1504934
8/18/2020 16:00:00,341,342.8,336.81,340.75,1489444
8/19/2020 16:00:00,341.12,341.94,339.95,340.9,1730080
8/20/2020 16:00:00,340.14,341.66,338.74,340.87,1717482
8/21/2020 16:00:00,340.07,345.84,339.33,344.61,2372580
8/24/2020 16:00:00,345.11,346.11,342.11,344.13,1461915
8/25/2020 16:00:00,344.14,344.91,341.46,344.71,1176166
8/26/2020 16:00:00,343.01,344.83,341.69,344.27,1757268
8/27/2020 16:00:00,345.61,347.74,342.55,346.36,2221007
8/28/2020 16:00:00,347.47,349.06,345.5,348.37,1487324
8/31/2020 16:00:00,346.85,348.75,344.29,347.66,1586941
9/1/2020 16:00:00,345.71,351.49,345.41,351.38,1774856
9/2/2020 16:00:00,353.61,359.92,351.31,358.86,2434933
9/3/2020 16:00:00,363.07,363.67,345.52,348.3,3630441
